timestamp,speed,peak,min,std,gyro,event
1774612456643,23.098637,1.1053916,-1.319979,0.6882339,0.1999516,NORMAL
1774612457674,23.478382,1.2571785,-1.1614907,0.91260564,0.20399536,NORMAL
1774612458711,24.58463,1.8727891,-1.7221487,0.79910856,0.20116848,NORMAL
1774612459726,25.939579,0.85166967,-1.23855,0.6542811,0.18507746,NORMAL
1774612460734,26.997349,0.94221884,-0.96868676,0.6069714,0.16038322,NORMAL
1774612461752,27.516811,2.0297847,-1.0221702,0.6368613,0.16959934,NORMAL
1774612462755,27.698887,1.56802,-1.0344151,0.5689873,0.18593636,NORMAL
1774612463786,27.995335,1.1417589,-1.0306926,0.5824209,0.15598327,NORMAL
1774612464819,27.8564,0.9283222,-0.79129416,0.41552722,0.0945919,NORMAL
1774612465835,26.49144,0.68801594,-0.6377052,0.35180587,0.07929051,NORMAL
1774612466856,24.491665,0.8301069,-0.49168408,0.3843824,0.08304463,NORMAL
1774612467875,22.1398,0.8832185,-0.87900937,0.37105557,0.0853779,NORMAL
1774612468910,20.05188,0.80372846,-0.6575062,0.28962022,0.099809684,NORMAL
1774612469934,18.511127,1.0369803,-0.77409685,0.37075266,0.18198065,NORMAL
1774612470930,17.629877,1.4536136,-1.2155666,0.49453878,0.23807319,NORMAL
1774612471958,17.590727,1.6162678,-1.33524,0.743084,0.34402323,NORMAL
1774612473000,18.157637,1.4767153,-1.4950835,0.6002895,0.24151658,NORMAL
1774612474008,18.915382,2.1758728,-1.7631382,1.4373833,0.28637934,NORMAL
1774612475048,19.18283,2.179929,-1.8262235,0.84168506,0.25191373,NORMAL
1774612476057,18.18966,1.9405586,-2.070549,0.67823863,0.28471437,NORMAL
1774612477082,18.574596,1.2053412,-1.760561,0.7480969,0.38454264,NORMAL
1774612478082,19.43916,2.0868573,-1.709586,1.4196148,0.46116307,NORMAL
1774612479117,21.095497,2.0179985,-1.5748706,1.276324,0.33733413,NORMAL
1774612480129,23.471699,1.510595,-1.2225989,0.95025146,0.23573156,NORMAL
1774612481156,25.60302,1.2483816,-1.5378506,1.137228,0.21574688,NORMAL
1774612482161,27.544212,1.45212,-0.9858357,0.7966283,0.19208048,NORMAL
1774612483182,30.091328,2.4698842,-1.5065038,1.1388056,0.21246202,NORMAL
1774612484205,32.93,6.360354,-1.8761592,1.3901542,0.35545996,NORMAL
1774612485211,35.8284,2.515029,-1.7456037,1.2206627,0.3128485,NORMAL
1774612486235,37.81224,2.0512552,-1.5298817,0.8489069,0.21906605,NORMAL
1774612487270,40.212147,2.0456583,-1.242186,0.8520085,0.19784509,NORMAL
1774612488290,42.890488,1.9225692,-2.7033265,1.0226454,0.20290998,NORMAL
1774612489313,45.563095,1.1901035,-2.0068488,0.84023935,0.18004863,NORMAL
1774612490335,47.81466,1.6983812,-3.4995322,0.9718649,0.17405215,NORMAL
1774612491372,49.5112,1.4632562,-2.854813,1.44783,0.19262357,NORMAL
1774612492395,50.57232,1.5390719,-1.6620079,1.0731772,0.170243,NORMAL
1774612493408,50.94979,2.2013688,-1.5212193,0.9042767,0.18375164,NORMAL
1774612494428,50.067474,2.065257,-1.4335574,0.88712615,0.15654962,NORMAL
1774612495454,48.299683,1.6286097,-1.4693398,0.72921497,0.13051593,NORMAL
1774612496482,46.07261,1.3782885,-1.3236041,0.7267252,0.12620433,NORMAL
1774612497482,43.454765,1.1503589,-1.5399561,0.7546215,0.1190335,NORMAL
1774612498516,39.33526,4.0688305,-2.1486385,1.5540248,0.25577483,NORMAL
1774612499546,33.465157,5.1700287,-4.3528743,2.087142,0.43989083,NORMAL
1774612500576,28.963894,1.9905694,-1.150895,0.5766746,0.13612972,NORMAL
1774612501594,26.349537,2.0410767,-2.2878196,1.1729949,0.27732208,NORMAL
1774612502609,26.393723,2.082193,-2.4727004,1.1182946,0.35367516,NORMAL
1774612503639,27.989834,1.8651477,-2.4076247,1.0381055,0.25672144,NORMAL
1774612504660,29.6819,2.5551107,-1.3284696,0.9385733,0.25062388,NORMAL
1774612505669,31.085941,2.557257,-4.313464,1.2220464,0.3087447,NORMAL
1774612506703,33.109165,2.35177,-4.245474,1.2189215,0.31081265,NORMAL
1774612507734,35.4463,2.0837226,-1.1204787,1.0596178,0.2677104,NORMAL
1774612508752,37.33818,1.66083,-1.7704351,0.84356046,0.22636992,NORMAL
1774612509772,38.38691,2.0364993,-1.7932243,1.2079002,0.377189,NORMAL
1774612510785,39.72175,3.187292,-1.5963984,1.1951238,0.3965174,NORMAL
1774612511809,41.21385,1.6284912,-1.781026,1.0729016,0.34378996,NORMAL
1774612512813,42.75711,1.726996,-2.2384994,1.1358223,0.35994124,NORMAL
1774612513849,44.014267,1.6471511,-1.1258993,0.8450821,0.20080455,NORMAL
1774612514866,45.07096,1.5602936,-1.0950115,0.875887,0.22517306,NORMAL
1774612515885,46.15138,2.4342613,-1.3983569,1.0359998,0.19126472,NORMAL
1774612516902,47.18843,1.4554702,-1.4182693,0.73786044,0.17433295,NORMAL
1774612517931,47.234657,1.8564725,-1.7403038,0.8620161,0.22157744,NORMAL
1774612518962,46.455994,1.7072737,-1.9491012,0.85489553,0.24043182,NORMAL
1774612519995,45.182396,1.2269298,-1.2921386,0.70794225,0.15706514,NORMAL
1774612520995,43.453438,3.1265557,-3.8017502,1.8599871,0.30420142,NORMAL
1774612522031,41.249664,4.1303434,-3.7804437,1.9326266,0.2374229,NORMAL
1774612523062,33.639,3.2686968,-4.1437654,1.8897572,0.25079054,NORMAL
1774612524082,29.255402,2.9211247,-4.11979,1.9010946,0.3395717,NORMAL
1774612525094,26.567642,1.5191195,-0.8228249,0.609926,0.13712983,NORMAL
1774612526124,26.034986,1.3815722,-1.2235222,0.59428054,0.138818,NORMAL
1774612527135,25.974592,0.92068887,-1.4555341,0.59588957,0.17812675,NORMAL
1774612528166,25.376755,2.3649516,-1.1596576,0.7262656,0.29532754,NORMAL
1774612529188,25.594051,1.6079581,-1.5715301,0.8393713,0.26751912,NORMAL
1774612530220,25.767632,4.5750146,-1.0830387,1.0366293,0.16326661,NORMAL
1774612531235,26.058979,1.0427716,-1.1543773,1.0339781,0.16646966,NORMAL
1774612532271,26.190588,1.0057514,-1.169735,0.75297385,0.18814868,NORMAL
1774612533304,25.059952,1.9138737,-4.842448,1.2924658,0.2882513,NORMAL
1774612534312,23.848772,3.1109712,-2.1900184,1.5679004,0.32291478,NORMAL
1774612535330,23.366863,2.0660725,-5.3693438,1.383497,0.25588495,NORMAL
1774612536349,23.75452,2.349725,-5.4017396,1.6862189,0.24720258,NORMAL
1774612537356,24.937513,2.2038069,-2.5533168,0.9018718,0.21833828,NORMAL
1774612538375,26.741709,1.6599383,-1.5379102,0.7979992,0.24418211,NORMAL
1774612539421,29.005026,1.4703376,-1.484629,0.7722837,0.21490195,NORMAL
1774612540443,31.327816,1.1943629,-1.6737208,0.6622881,0.15503176,NORMAL
1774612541460,33.36949,1.0732843,-1.8891392,0.6862824,0.11238456,NORMAL
1774612542486,34.191296,1.5475479,-4.011978,1.0505066,0.13384661,NORMAL
1774612543515,34.81398,1.7124858,-1.8100045,1.0183902,0.16247927,NORMAL
1774612544540,35.67719,1.0050373,-2.0820718,0.91810566,0.13274588,NORMAL
1774612545569,36.598316,3.1197965,-1.1799284,0.61829674,0.115685806,NORMAL
1774612546582,37.43899,1.9062331,-1.1015997,0.70516104,0.117374614,NORMAL
1774612547602,38.245796,1.7461329,-1.1922057,0.647739,0.12903799,NORMAL
1774612548625,38.830677,0.9212633,-1.0387099,0.65153307,0.10285061,NORMAL
1774612549655,39.008804,0.99943453,-0.83954287,0.5763503,0.0934516,NORMAL
1774612550667,38.885284,1.1488591,-1.1396902,0.69441617,0.10517142,NORMAL
1774612551708,38.667168,2.3015275,-1.0134094,0.998418,0.12093442,NORMAL
1774612552729,38.118702,1.5260699,-1.0450205,1.0251173,0.12117819,NORMAL
1774612553751,37.24242,2.181337,-1.5547276,1.3771604,0.16485868,NORMAL
1774612554797,35.708652,1.0489368,-1.2625515,0.5531994,0.10196254,NORMAL
1774612555830,33.60759,0.7727798,-1.0452273,0.6370692,0.08514323,NORMAL
1774612556850,31.742153,1.1194727,-1.8460586,0.9627775,0.11036319,NORMAL
1774612557880,29.917294,1.4601344,-1.461418,1.0431918,0.1260443,NORMAL
1774612558910,26.619175,0.7725425,-0.896941,0.75392354,0.085803874,NORMAL
1774612559936,22.552305,1.0529566,-0.7731472,0.47851238,0.08110167,NORMAL
1774612560944,18.614584,1.2862419,-1.1060132,0.4027104,0.15110755,NORMAL
1774612561977,15.359151,1.4286973,-0.9811124,0.5189686,0.27802044,NORMAL
1774612562993,13.017092,1.4815699,-1.5139054,0.5850697,0.23272401,NORMAL
1774612563996,12.519055,0.6911304,-0.9329117,0.33949113,0.19955751,NORMAL
1774612565018,12.868234,1.0259936,-1.2551199,0.5209121,0.26385275,NORMAL
1774612566039,14.698165,1.0184231,-1.237298,0.5075264,0.18688664,NORMAL
1774612567047,16.4221,0.7345607,-1.1058608,0.592684,0.1892315,NORMAL
1774612568071,17.514061,1.3663428,-1.1962911,0.5765511,0.21985452,NORMAL
1774612569099,18.615637,2.53448,-1.5506516,0.71854025,0.23745973,NORMAL
1774612570124,20.370983,1.3316694,-1.3054469,0.7611387,0.123450175,NORMAL
1774612571132,22.691391,0.97109735,-1.2956837,0.60390896,0.12730671,NORMAL
1774612572151,23.709236,1.0497712,-0.8418715,0.6136439,0.15860382,NORMAL
1774612573165,24.579142,0.8935537,-1.0488842,0.5812401,0.18511872,NORMAL
1774612574179,25.245085,1.31029,-1.214689,0.5797071,0.14209417,NORMAL
1774612575203,25.774252,1.2204635,-2.5097725,0.85104585,0.11949681,NORMAL
1774612576240,26.955751,1.1902256,-1.4188238,0.7679129,0.130653,NORMAL
1774612577244,28.658253,2.2708256,-1.3972048,0.8084928,0.14308167,NORMAL
1774612578269,30.63015,1.1767691,-1.6625687,0.8007017,0.13317348,NORMAL
1774612579272,32.28849,1.6292814,-1.2817805,0.76941764,0.11785347,NORMAL
1774612580286,33.485092,1.5147324,-1.4720452,0.799258,0.13733348,NORMAL
1774612581295,34.865456,1.8532249,-1.6389672,1.2331765,0.17246832,NORMAL
1774612582317,36.168873,1.4073443,-1.6031795,1.2359798,0.1781051,NORMAL
1774612583338,37.454926,0.82406133,-2.402433,0.6514167,0.14529051,NORMAL
1774612584364,38.615356,1.3406982,-1.1918414,0.89357126,0.1688448,NORMAL
